time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
183,63.85,-5.71398569,44,8192,1,,,,,,,,,,,
184,66.48,-3.8777507000000004,88,16384,2,-0.026801062467711745,-17.03612722158432,0.1384033203125,0.011833313,38.86786322593689,17.793907165527344,1.000748872756958,10,0.0003,0.2,-0.005763649940490723
119,64.7,-4.134974089999999,205,24576,3,-0.030749441661464517,-17.049498188495637,0.13516845703125,0.011044564,32.82071682214737,15.801956176757812,1.002075433731079,20,0.0003,0.2,0.006929993629455566
117,62.76,-2.6836601800000004,279,32768,4,-0.030556828129920176,-17.075911670923233,0.118408203125,0.009875736,29.721247953176498,15.191335678100586,1.004973292350769,30,0.0003,0.2,0.07436615228652954
120,65.23,-0.08773095000000002,340,40960,5,-0.03002353662486712,-17.098568749427795,0.11422119140625,0.009953584,26.091918694972993,11.483152389526367,1.0062896013259888,40,0.0003,0.2,0.17106789350509644
128,64.27,-0.7679819199999999,383,49152,6,-0.028323435786296612,-17.12423910498619,0.10262451171875,0.0092899725,21.76801906824112,8.991466522216797,1.0091443061828613,50,0.0003,0.2,0.33117425441741943
133,62.97,1.3281217699999999,429,57344,7,-0.02721569745190209,-17.151404595375062,0.09718017578125,0.009025805,23.8516144156456,11.43510627746582,1.0109504461288452,60,0.0003,0.2,0.43876999616622925
139,67.6,5.016341629999999,471,65536,8,-0.03092572386158281,-17.171837347745896,0.12342529296875,0.010254493,22.593301910161973,10.18532943725586,1.0125247240066528,70,0.0003,0.2,0.5166497230529785
143,61.69,2.8120458299999997,512,73728,9,-0.02937164285685867,-17.191543686389924,0.10538330078125,0.009476161,22.06714608669281,8.259654998779297,1.0142155885696411,80,0.0003,0.2,0.5710238814353943
147,68.28,6.377391420000001,554,81920,10,-0.031079228507587688,-17.203558099269866,0.11776123046875,0.010223111,19.691619783639908,9.211570739746094,1.0149434804916382,90,0.0003,0.2,0.6449096202850342
150,66.36,4.937280500000001,597,90112,11,-0.03158316277695121,-17.22400045990944,0.12120361328125,0.010571607,20.950140991806983,9.802218437194824,1.0176138877868652,100,0.0003,0.2,0.6752078533172607
148,67.13,6.491763110000001,661,98304,12,-0.032042151939822364,-17.242447745800018,0.13089599609375,0.0110912975,18.968699163198472,9.275023460388184,1.018343210220337,110,0.0003,0.2,0.7075679302215576
144,70.06,12.522528539999998,734,106496,13,-0.03537851522924029,-17.24039471745491,0.14619140625,0.011935386,17.074084940552712,7.832216262817383,1.017720103263855,120,0.0003,0.2,0.7316615581512451
136,70.54,8.163996240000001,838,114688,14,-0.03567295218672371,-17.24020063281059,0.14383544921875,0.012149865,14.113706523180008,5.8482890129089355,1.0182548761367798,130,0.0003,0.2,0.7891907691955566
134,68.24,8.69046449,914,122880,15,-0.03419713314506225,-17.2411289870739,0.13348388671875,0.011512937,17.960500246286394,8.782565116882324,1.0181936025619507,140,0.0003,0.2,0.781768262386322
134,70.73,11.096734269999999,976,131072,16,-0.03451061354280682,-17.263183903694152,0.13699951171875,0.011582258,15.64457174539566,7.4091691970825195,1.020837664604187,150,0.0003,0.2,0.8034013509750366
