time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
8192,-3.32209725,24,64.84,328,1,,,,,,,,,,,
16384,-2.4070188900000002,50,64.35,322,2,-0.02881800812247093,10,0.2,0.15,-0.011850357055664062,0.0003,39.59152063131332,0.012009477,1.0006476640701294,-17.035240352153778,19.09099578857422
24576,-4.86749988,74,67.02,330,3,-0.03100914383830968,20,0.2,0.12166748046875,0.030617475509643555,0.0003,32.9777273952961,0.0108879395,1.0024980306625366,-17.05093632340431,15.296453475952148
32768,-2.0477703,98,66.67,333,4,-0.030792543718780506,30,0.2,0.12119140625,0.10854071378707886,0.0003,27.769678390026094,0.010054436,1.0036413669586182,-17.068556362390517,12.660449981689453
40960,0.54802693,123,65.03,331,5,-0.029637285639182664,40,0.2,0.1145751953125,0.2454422116279602,0.0003,25.727207481861115,0.009972207,1.0026823282241821,-17.06649904847145,11.679292678833008
49152,2.1336422000000006,147,69.28,333,6,-0.031675559789073306,50,0.2,0.1213623046875,0.36373794078826904,0.0003,24.12750244140625,0.010136985,1.0051575899124146,-17.07944897413254,10.664523124694824
57344,3.0078872899999998,172,65.33,332,7,-0.030108460329211086,60,0.2,0.11474609375,0.4107447862625122,0.0003,24.547589033842087,0.010559584,1.006635308265686,-17.101319336891173,10.817412376403809
65536,4.424096840000001,197,66.09,332,8,-0.03324510599195492,70,0.2,0.1386474609375,0.5072936415672302,0.0003,22.494217920303345,0.011256805,1.0081168413162231,-17.119398331642152,10.469111442565918
73728,4.327753380000001,221,69.91,333,9,-0.032835065336985284,80,0.2,0.133203125,0.5706973075866699,0.0003,22.302307772636414,0.01099319,1.007051706314087,-17.11619454026222,9.929264068603516
81920,5.554019919999999,245,65.75,333,10,-0.03253741522275959,90,0.2,0.12884521484375,0.5459539890289307,0.0003,24.56892232298851,0.010911223,1.0068694353103638,-17.110940474271775,9.934544563293457
90112,6.0636753500000005,269,69.2,334,11,-0.034371114379609935,100,0.2,0.13662109375,0.6485059261322021,0.0003,20.54377962052822,0.011536794,1.0075950622558594,-17.11584945321083,10.906725883483887
98304,8.630773549999999,292,73.61,335,12,-0.03574733200584888,110,0.2,0.14989013671875,0.6906524300575256,0.0003,18.85362567305565,0.012304711,1.008941411972046,-17.130416876077653,7.477370262145996
106496,7.908590299999999,316,73.07,336,13,-0.037324365841050165,120,0.2,0.13955078125,0.7222846746444702,0.0003,17.2344111174345,0.012462689,1.0080654621124268,-17.126528352499008,7.381669521331787
114688,8.78861149,340,69.77,337,14,-0.03620373393641785,130,0.2,0.13978271484375,0.7503128051757812,0.0003,16.258333054184913,0.012233829,1.008919358253479,-17.126987117528916,7.100400924682617
122880,6.439293130000002,363,70.2,337,15,-0.036573706104536544,140,0.2,0.14197998046875,0.7935839295387268,0.0003,13.664992770552635,0.011968553,1.00896418094635,-17.133502477407454,5.970438003540039
