time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance
1,8192,-7.421653100000001,23,353,68.66,,,,,,,,,,,
2,16384,-2.0422191200000004,47,343,64.56,0.0003,10,0.1318359375,-17.0323082447052,1.0008361339569092,0.011545288,37.20202239155769,0.2,-0.02671052792284172,19.4698429107666,-0.00943303108215332
3,24576,-2.4064101499999997,71,341,66.5,0.0003,20,0.12589111328125,-17.04581993818283,1.0012234449386597,0.010753053,33.1285003721714,0.2,-0.03181689419725444,16.52604103088379,0.008208930492401123
4,32768,-1.2897143500000001,96,338,61.22,0.0003,30,0.10269775390625,-17.08415407538414,1.0064371824264526,0.009441613,29.163826596736907,0.2,-0.029032377059775172,14.396825790405273,0.09702354669570923
5,40960,-0.47724025000000014,120,339,67.21,0.0003,40,0.118359375,-17.106387490034102,1.0065463781356812,0.009848846,26.33134812116623,0.2,-0.02929833872403833,13.244479179382324,0.24804121255874634
6,49152,0.13770389000000005,146,336,62.1,0.0003,50,0.105810546875,-17.121030873060228,1.0084805488586426,0.009648675,26.964011347293855,0.2,-0.02952512820629636,11.207079887390137,0.2503974437713623
7,57344,0.1586770500000001,170,336,64.19,0.0003,60,0.1139892578125,-17.15670970082283,1.0120081901550293,0.010288396,23.10145251750946,0.2,-0.03075107296463102,9.721303939819336,0.37991607189178467
8,65536,2.77762056,194,337,67.81,0.0003,70,0.12325439453125,-17.184158790111542,1.0132335424423218,0.010653714,22.07206573486328,0.2,-0.03116537212044932,9.082390785217285,0.4878650903701782
9,73728,4.963094689999999,217,338,65.47,0.0003,80,0.13514404296875,-17.178083831071852,1.0125083923339844,0.011761353,19.857970517873763,0.2,-0.03419754108253983,8.330625534057617,0.5564579367637634
10,81920,6.08243393,241,339,69.16,0.0003,90,0.13251953125,-17.17403256893158,1.0124098062515259,0.011544549,21.681485885381697,0.2,-0.03438191081950208,8.953904151916504,0.6071001291275024
11,90112,2.80203296,266,338,59.47,0.0003,100,0.13790283203125,-17.199650520086287,1.0151704549789429,0.011702493,19.109797263145445,0.2,-0.03548149707567063,8.232647895812988,0.6752394437789917
12,98304,7.078291479999999,289,339,70.05,0.0003,110,0.1272705078125,-17.207011067867278,1.0150504112243652,0.011128035,17.87952160835266,0.2,-0.03465519447345287,6.919690132141113,0.7253992557525635
13,106496,6.4945634199999995,312,340,68.5,0.0003,120,0.1389892578125,-17.220990204811095,1.01694655418396,0.012143469,16.702919325232507,0.2,-0.0355806197032507,7.281179904937744,0.7494437098503113
14,114688,8.845747050000002,335,341,71.41,0.0003,130,0.14637451171875,-17.255362421274185,1.0200830698013306,0.013144208,14.05483357310295,0.2,-0.036864791908010376,6.178874969482422,0.7970391511917114
15,122880,8.47700364,358,342,69.33,0.0003,140,0.1496337890625,-17.281154668331148,1.0220392942428589,0.011993134,15.301380413770676,0.2,-0.037633381953492064,8.249794006347656,0.786880612373352
16,131072,9.00583683,381,343,66.65,0.0003,150,0.15213623046875,-17.301790398359298,1.0236634016036987,0.013110261,15.203528872132301,0.2,-0.037583958451432406,5.807000637054443,0.7971488237380981
