time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/std,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
353,8192,66.7,23,-6.06516318,1,,,,,,,,,,,
340,16384,63.01,48,-2.7346184100000013,2,-0.010480642318725586,10,1.0023175477981567,34.79955834150314,16.001808166503906,0.012281673,0.0003,-17.047579652071,-0.028549240284701228,0.14449462890625,0.2
341,24576,67.76,71,-1.34549002,3,0.02479231357574463,20,1.0055116415023804,31.063176965713502,14.010176658630371,0.01062284,0.0003,-17.083191710710526,-0.029626162760541773,0.124365234375,0.2
338,32768,63.43,96,-4.55055292,4,0.14548903703689575,30,1.011293649673462,25.787249428033828,11.90328598022461,0.010364773,0.0003,-17.14098717570305,-0.029641063445887995,0.1144287109375,0.2
337,40960,63.74,121,-2.984699789999999,5,0.22273969650268555,40,1.01045560836792,25.714391696453095,12.089442253112793,0.0092673525,0.0003,-17.157309812307357,-0.026143587511614896,0.09912109375,0.2
337,49152,64.31,145,-2.4173747499999996,6,0.2889488935470581,50,1.0114825963974,25.481248831748964,10.713293075561523,0.010041157,0.0003,-17.15961748957634,-0.028185315459995763,0.1181884765625,0.2
336,57344,62.1,170,0.08170415000000009,7,0.391754686832428,60,1.0149495601654053,25.583788335323334,11.83625316619873,0.009595479,0.0003,-17.189130204916,-0.02757436272368068,0.10985107421875,0.2
335,65536,63.59,195,-0.5804064000000002,8,0.46781831979751587,70,1.0149736404418945,24.212566018104553,10.885302543640137,0.009018585,0.0003,-17.20841439962387,-0.026286440713738556,0.10531005859375,0.2
336,73728,67.93,218,3.9282195099999995,9,0.5785305500030518,80,1.0177078247070312,21.079684394598008,9.638684272766113,0.009662338,0.0003,-17.225049221515654,-0.028449386082502314,0.1056884765625,0.2
336,81920,62.25,243,4.2863883099999995,10,0.5801337957382202,90,1.0173426866531372,22.899027568101882,9.741262435913086,0.009430627,0.0003,-17.23448543548584,-0.028776469109288882,0.10836181640625,0.2
336,90112,66.41,267,7.5198937599999995,11,0.6655369997024536,100,1.0200886726379395,19.43680160343647,8.368339538574219,0.009889041,0.0003,-17.25275922417641,-0.02988526768021984,0.1207763671875,0.2
337,98304,67.35,291,8.168079259999999,12,0.7087957262992859,110,1.0210962295532227,19.09629029631615,8.830273628234863,0.009915831,0.0003,-17.271957087516785,-0.029309449638822115,0.109228515625,0.2
