time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/std,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss
1,23,-5.510963869999999,64.92,8192,343,,,,,,,,,,,
2,48,-4.1473357,63.54,16384,336,10,1.0020207166671753,-17.04634244441986,16.870559692382812,-0.0046062469482421875,0.012058254,0.13681640625,0.2,-0.026602252369775668,0.0003,38.8713980615139
3,73,-3.8460369200000004,65.98,24576,335,20,1.004355549812317,-17.072078514099122,13.4733304977417,0.0068555474281311035,0.011368446,0.12320556640625,0.2,-0.03064972207939718,0.0003,32.1366171836853
4,97,-2.0401124200000003,64.44,32768,335,30,1.00698721408844,-17.101822924613952,11.461730003356934,0.087715744972229,0.009648418,0.11055908203125,0.2,-0.029988599731586872,0.0003,28.092567867040636
5,121,-1.5217906300000001,63.95,40960,335,40,1.0097330808639526,-17.133103173971175,12.980887413024902,0.19637566804885864,0.010091143,0.120166015625,0.2,-0.029514738170837516,0.0003,27.950769370794298
6,146,2.61600962,65.9,49152,336,50,1.0135693550109863,-17.173164194822313,10.120691299438477,0.3184230923652649,0.009597388,0.11005859375,0.2,-0.028806558740325273,0.0003,25.263215732574462
7,170,2.43385193,65.38,57344,336,60,1.014990210533142,-17.20030363202095,11.162109375,0.4064551591873169,0.009933848,0.11668701171875,0.2,-0.02963032815605402,0.0003,25.964045083522798
8,195,2.6720986500000006,63.15,65536,335,70,1.014106273651123,-17.202330738306046,10.9713134765625,0.5234193801879883,0.0099343145,0.1130615234375,0.2,-0.028552350115205627,0.0003,24.02081776857376
9,218,4.51232779,66.48,73728,336,80,1.0127102136611938,-17.18483340740204,7.845698833465576,0.6103951930999756,0.010653208,0.1184326171875,0.2,-0.030973834755423015,0.0003,21.33902688026428
10,243,7.35462043,65.99,81920,337,90,1.0134902000427246,-17.18572098016739,8.578267097473145,0.6364923715591431,0.0103951525,0.1191650390625,0.2,-0.0312213347897341,0.0003,21.253801697492598
11,266,8.112558539999998,68.65,90112,337,100,1.0146009922027588,-17.19580534696579,7.725314140319824,0.6994659304618835,0.010800636,0.130126953125,0.2,-0.03208818245184375,0.0003,18.23405840098858
12,290,6.1266358799999985,67.3,98304,338,110,1.0133863687515259,-17.1928692817688,6.601792812347412,0.755200207233429,0.012213191,0.13983154296875,0.2,-0.03496296410958166,0.0003,15.481920471787452
13,313,6.8547796000000005,69.44,106496,340,120,1.013286828994751,-17.184452348947524,9.727983474731445,0.7233449220657349,0.01087917,0.1258056640625,0.2,-0.03377301765576703,0.0003,18.896164482831956
14,335,9.19990297,72.93,114688,341,130,1.0112158060073853,-17.16792804002762,7.451472759246826,0.7517443895339966,0.0121537335,0.1490478515625,0.2,-0.034746940691547934,0.0003,17.12653214931488
15,359,7.786365099999999,62.72,122880,341,140,1.0117378234863281,-17.163654345273972,7.394918441772461,0.7729628086090088,0.012268105,0.14923095703125,0.2,-0.03656520192162134,0.0003,17.220566934347154
16,382,14.437228289999998,70.63,131072,342,150,1.0121121406555176,-17.16783050894737,6.858938217163086,0.7936286926269531,0.012194642,0.1482666015625,0.2,-0.03561726794287097,0.0003,16.141959899663924
17,403,14.266972619999999,81.34,139264,345,160,1.0104409456253052,-17.16370302438736,4.882439613342285,0.8384896516799927,0.013583224,0.16513671875,0.2,-0.03765238031774061,0.0003,11.953164082765579
18,425,11.85285951,74.7,147456,346,170,1.0123523473739624,-17.163975340127944,5.721972465515137,0.8260305523872375,0.0136149265,0.16710205078125,0.2,-0.03942550526553532,0.0003,15.061462426185608
19,446,15.7736005,78.94,155648,348,180,1.0148797035217285,-17.19520605802536,7.43232536315918,0.819825291633606,0.0122677665,0.15382080078125,0.2,-0.036740574057330375,0.0003,15.914883431792259
20,468,12.882805789999999,78.74,163840,349,190,1.0149251222610474,-17.205101752281188,6.575849533081055,0.8419517874717712,0.013563989,0.1609375,0.2,-0.03759599104159861,0.0003,15.016790503263474
21,488,15.881189999999998,79.37,172032,351,200,1.015192985534668,-17.200508600473405,8.801276206970215,0.8300108909606934,0.01292137,0.15177001953125,0.2,-0.036765630680019964,0.0003,17.242646059393884
22,508,20.76447994,87.32,180224,354,210,1.01337730884552,-17.192919862270355,6.388759136199951,0.8450179100036621,0.014697205,0.1722412109375,0.2,-0.03988804849213921,0.0003,14.901685792207719
23,528,20.076284910000002,88.45,188416,356,220,1.0141972303390503,-17.195326298475266,5.90765380859375,0.8678355813026428,0.016277581,0.18812255859375,0.2,-0.042840945374337025,0.0003,11.597953635454179
24,547,19.792014230000003,91.52,196608,358,230,1.0123902559280396,-17.18506031036377,5.363043308258057,0.8683843612670898,0.014666622,0.1689697265625,0.2,-0.041500238356820776,0.0003,13.798502984642983
25,566,22.876434870000008,92.99,204800,361,240,1.0106843709945679,-17.15875263810158,6.028127193450928,0.8581836223602295,0.016004568,0.17855224609375,0.2,-0.04200940272785374,0.0003,14.544547468423843
26,586,23.38556798,93.98,212992,363,250,1.0120010375976562,-17.159357517957687,6.566066741943359,0.8727841973304749,0.015378586,0.18046875,0.2,-0.04167600730288541,0.0003,13.796363174915314
27,604,24.159521269999995,94.2,221184,365,260,1.0126386880874634,-17.16913183927536,5.918236255645752,0.881541907787323,0.017523034,0.1998291015625,0.2,-0.0431370847436483,0.0003,13.710167700052262
28,621,30.72029774,108.01,229376,368,270,1.0125058889389038,-17.168146228790285,6.1531171798706055,0.8798747062683105,0.017665463,0.204150390625,0.2,-0.04407832588185556,0.0003,14.76568475663662
29,638,35.00264567,123.72,237568,372,280,1.0122160911560059,-17.16748430132866,6.06334924697876,0.8766171932220459,0.018428344,0.22354736328125,0.2,-0.047063246139441614,0.0003,14.23783223927021
30,654,36.092347780000004,129.01,245760,375,290,1.0101630687713623,-17.150877058506012,6.0958943367004395,0.8838172554969788,0.018453151,0.2168701171875,0.2,-0.04451588121737586,0.0003,13.417048811912537
31,669,40.842990400000005,143.65,253952,379,300,1.0124591588974,-17.165588331222533,7.179377555847168,0.8863111734390259,0.0171116,0.2066162109375,0.2,-0.04249843150319066,0.0003,14.436419656872749
32,684,47.56401764999999,159.0,262144,382,310,1.0125956535339355,-17.173565256595612,6.505829334259033,0.8807973861694336,0.017011596,0.1996826171875,0.2,-0.04408365496637998,0.0003,14.997323817014694
33,700,47.56139834999998,146.06,270336,385,320,1.011839509010315,-17.16817272901535,6.518426895141602,0.8856152296066284,0.017166786,0.19932861328125,0.2,-0.04505171057535336,0.0003,15.502835553884506
34,715,50.5424992,151.72,278528,389,330,1.0123028755187988,-17.16588546037674,8.349655151367188,0.8828721046447754,0.01816637,0.2087890625,0.2,-0.04287091045407578,0.0003,17.08913848698139
35,728,62.82136048,179.88,286720,393,340,1.0097671747207642,-17.148271048069,6.9213080406188965,0.8910084962844849,0.017811298,0.21678466796875,0.2,-0.04437377461435972,0.0003,16.22157321870327
36,741,72.8065545,204.16,294912,397,350,1.0097159147262573,-17.14018647670746,7.197089195251465,0.8760757446289062,0.02000222,0.2385009765625,0.2,-0.048137412492360455,0.0003,15.79527769088745
37,753,88.74177902,239.77,303104,402,360,1.0107730627059937,-17.145940881967544,8.1638822555542,0.8699471950531006,0.019016117,0.2329345703125,0.2,-0.045295246954628963,0.0003,16.901642432808877
38,764,102.28237527000002,272.69,311296,407,370,1.0110080242156982,-17.14999567270279,7.630820274353027,0.8825247883796692,0.019749366,0.23482666015625,0.2,-0.04659069136105245,0.0003,15.207717996835708
39,775,120.35389823999999,309.94,319488,411,380,1.0116313695907593,-17.15645839571953,5.304539203643799,0.8530619144439697,0.021757264,0.254150390625,0.2,-0.047754217997135126,0.0003,13.892454063892364
40,787,138.96252303,348.98,327680,416,390,1.0142604112625122,-17.18497517108917,4.61417293548584,0.8823641538619995,0.018699981,0.2309814453125,0.2,-0.046283368773583786,0.0003,16.1943040728569
41,797,151.59588859,365.87,335872,421,400,1.0143531560897827,-17.185871064662933,7.520683288574219,0.8677341938018799,0.017990083,0.21351318359375,0.2,-0.04283033255924238,0.0003,19.520118981599808
42,808,177.45693055000004,414.21,344064,425,410,1.014349102973938,-17.19076891541481,5.3607611656188965,0.8704257607460022,0.019906692,0.22998046875,0.2,-0.044890968965773936,0.0003,15.882351091504097
43,819,191.49471066,432.71,352256,429,420,1.0147284269332886,-17.195812946558,8.574225425720215,0.8635866045951843,0.021256223,0.24681396484375,0.2,-0.046884762534318725,0.0003,14.285448893904686
44,830,200.37185807000003,441.0,360448,434,430,1.0160019397735596,-17.205819952487946,7.533580780029297,0.888608455657959,0.019086372,0.23433837890625,0.2,-0.04474067044284311,0.0003,17.96239352822304
45,840,217.0860087,467.76,368640,438,440,1.0152639150619507,-17.203233230113984,5.473859786987305,0.8649678826332092,0.021800196,0.2664794921875,0.2,-0.04706274963828037,0.0003,14.051180204749107
46,851,239.78388341,506.31,376832,442,450,1.0165618658065796,-17.214022743701936,5.98472261428833,0.8935138583183289,0.019453067,0.22662353515625,0.2,-0.04377068783796858,0.0003,16.7658181399107
47,861,259.30395523000004,535.69,385024,446,460,1.0221798419952393,-17.263696229457857,4.7623677253723145,0.8421045541763306,0.021039303,0.24608154296875,0.2,-0.041969004551356194,0.0003,14.149536016583443
48,872,275.07367971,561.86,393216,450,470,1.0237245559692383,-17.299734318256377,9.890843391418457,0.859413743019104,0.022546284,0.27159423828125,0.2,-0.041893793845520125,0.0003,12.23075129687786
49,882,284.12346411,571.61,401408,454,480,1.0231759548187256,-17.29252245426178,7.915548324584961,0.8064433336257935,0.024628334,0.278173828125,0.2,-0.04584827812068397,0.0003,12.002316692471505
50,893,300.37172692999997,594.0,409600,458,490,1.0247218608856201,-17.310048484802245,3.4720582962036133,0.8546465635299683,0.024070311,0.28668212890625,0.2,-0.04361752630939009,0.0003,8.796565198898316
51,903,326.42973221,634.86,417792,462,500,1.0274752378463745,-17.331279116868973,4.138052940368652,0.8230060338973999,0.027018977,0.2934326171875,0.2,-0.04580266977427527,0.0003,9.121262547373771
52,914,335.78831324,648.07,425984,465,510,1.0261982679367065,-17.332396882772446,5.288496494293213,0.8708446025848389,0.020005519,0.2327392578125,0.2,-0.04111374925560085,0.0003,12.592242622375489
53,924,353.07737996999987,677.24,434176,469,520,1.030171513557434,-17.360494470596315,5.094301223754883,0.8418844938278198,0.019322192,0.23209228515625,0.2,-0.03899978388544696,0.0003,11.514166437089443
54,935,369.76905019,699.25,442368,473,530,1.033082365989685,-17.395715206861496,4.05670690536499,0.8180731534957886,0.023094468,0.269677734375,0.2,-0.04163792386680143,0.0003,11.790450590848923
55,945,381.15147701,708.41,450560,476,540,1.036696434020996,-17.437923854589464,3.616044759750366,0.8907590508460999,0.02344646,0.253955078125,0.2,-0.04001005892787361,0.0003,10.50758197158575
56,955,390.06198979,718.31,458752,480,550,1.0412765741348267,-17.486561703681947,2.8553314208984375,0.8261017799377441,0.03547823,0.34036865234375,0.2,-0.042984767840243875,0.0003,6.3775594413280485
57,965,402.87766661,734.16,466944,483,560,1.0424171686172485,-17.519390249252318,4.6539998054504395,0.8144872784614563,0.024732934,0.2899658203125,0.2,-0.038372321310453116,0.0003,7.895473246276379
58,976,409.6432869400001,739.84,475136,486,570,1.0428472757339478,-17.51802576184273,2.3827831745147705,0.8498103618621826,0.026064802,0.30946044921875,0.2,-0.039874839093681655,0.0003,7.391115294396878
59,986,420.11550949,751.18,483328,489,580,1.0435930490493774,-17.52847847342491,2.7930283546447754,0.8761345148086548,0.020651769,0.26424560546875,0.2,-0.034610842436086385,0.0003,9.01900618597865
60,996,443.15320418000005,785.03,491520,493,590,1.0471733808517456,-17.55287231206894,2.7218968868255615,0.8291503190994263,0.024517586,0.28565673828125,0.2,-0.040214245543029395,0.0003,8.040009647607803
61,1007,452.78289753000007,796.68,499712,496,600,1.0471166372299194,-17.57402499914169,2.3603789806365967,0.8473949432373047,0.028322753,0.32840576171875,0.2,-0.04502449850551784,0.0003,6.759783378243446
62,1017,469.6922554,818.28,507904,499,610,1.0509113073349,-17.60096557736397,4.183380126953125,0.8618618249893188,0.018567376,0.23319091796875,0.2,-0.03716476664994843,0.0003,9.641492627561092
63,1027,471.36641225000005,811.98,516096,502,620,1.0516165494918823,-17.614454412460326,2.9898672103881836,0.8533033132553101,0.026824296,0.267138671875,0.2,-0.04128938913636375,0.0003,6.544653730094433
64,1038,487.54241456999995,831.16,524288,505,630,1.0533372163772583,-17.638929104804994,3.580716848373413,0.8496400117874146,0.022802744,0.2777587890625,0.2,-0.03363167721108766,0.0003,9.798023247718811
65,1048,489.90063912,830.02,532480,507,640,1.0531820058822632,-17.641896963119507,1.9520542621612549,0.8313457369804382,0.023723807,0.2633544921875,0.2,-0.04147169737443619,0.0003,7.157901501655578
66,1058,501.89241668999995,842.11,540672,510,650,1.0550380945205688,-17.665052884817122,1.710781216621399,0.896287739276886,0.030217323,0.3266357421875,0.2,-0.04469512413124903,0.0003,5.555871100723744
67,1069,496.95317921000003,823.53,548864,513,660,1.0552626848220825,-17.662791627645493,3.4308719635009766,0.892039954662323,0.02217526,0.259912109375,0.2,-0.04082879366178531,0.0003,7.159562569856644
68,1079,499.66162360000004,823.61,557056,516,670,1.0554248094558716,-17.663159734010698,4.086930274963379,0.8977871537208557,0.017906958,0.211083984375,0.2,-0.03899107490578899,0.0003,11.03663510978222
69,1089,502.37528771999996,820.4,565248,518,680,1.0551291704177856,-17.663632464408874,4.142667293548584,0.8773593902587891,0.019617096,0.2247802734375,0.2,-0.03627201193303335,0.0003,9.13358616605401
70,1099,511.5162592700001,825.95,573440,521,690,1.0573469400405884,-17.67659274339676,4.03072452545166,0.858148992061615,0.01844623,0.22322998046875,0.2,-0.035582816491660195,0.0003,11.501569047570229
71,1110,505.17633929999994,809.08,581632,523,700,1.056864857673645,-17.68193158507347,6.278084754943848,0.7785050868988037,0.020430582,0.2546142578125,0.2,-0.03817959854059154,0.0003,11.418075692653655
72,1120,507.65925687000004,803.65,589824,526,710,1.0578008890151978,-17.689763957262038,8.743122100830078,0.8637560606002808,0.015977316,0.2109619140625,0.2,-0.03610218766698381,0.0003,13.592281663417817
73,1130,517.7176370100001,812.55,598016,528,720,1.0570722818374634,-17.691904419660567,5.144680976867676,0.8990451693534851,0.022290621,0.25465087890625,0.2,-0.03827981271024328,0.0003,9.364874421060085
74,1140,520.17809896,810.77,606208,531,730,1.057427167892456,-17.68637745976448,8.043912887573242,0.8351614475250244,0.03148489,0.35238037109375,0.2,-0.03913213934720261,0.0003,8.568919003754853
75,1150,524.9797137999999,812.09,614400,533,740,1.0602879524230957,-17.715309035778045,6.250335216522217,0.8619639873504639,0.023003113,0.27637939453125,0.2,-0.037441466528252934,0.0003,10.018725337088108
76,1160,529.14612233,813.19,622592,536,750,1.061782956123352,-17.73800973892212,2.0332274436950684,0.8772554397583008,0.03454357,0.35526123046875,0.2,-0.04414882493510959,0.0003,6.546889539808035
77,1171,535.83599922,819.18,630784,538,760,1.06411612033844,-17.75705589056015,7.716958999633789,0.7536931037902832,0.019451745,0.2502685546875,0.2,-0.03389440510218265,0.0003,12.735005342960358
78,1181,537.78976265,815.17,638976,540,770,1.0667706727981567,-17.789672011137007,4.142385005950928,0.8733533024787903,0.019516258,0.227587890625,0.2,-0.03845131717826007,0.0003,12.181846968829632
79,1191,535.1241446600001,808.81,647168,543,780,1.0691899061203003,-17.81630156636238,4.837393283843994,0.8407449722290039,0.019917246,0.24095458984375,0.2,-0.03706103668664582,0.0003,14.966453956067562
80,1201,530.9456685499999,798.83,655360,545,790,1.0756832361221313,-17.880467426776885,4.899328231811523,0.9013751745223999,0.019967655,0.25052490234375,0.2,-0.03734591348911635,0.0003,11.550944581627846
81,1211,545.06745994,814.24,663552,547,800,1.0775824785232544,-17.918155509233475,5.225625514984131,0.8403788805007935,0.02706796,0.30146484375,0.2,-0.040540292519290234,0.0003,11.451555679738522
82,1221,555.3011905799999,826.96,671744,549,810,1.0783607959747314,-17.926239174604415,4.165807723999023,0.9210991263389587,0.021132518,0.2500732421875,0.2,-0.041875055352284106,0.0003,10.870122146606445
83,1232,547.71290493,810.38,679936,551,820,1.0815030336380005,-17.949408441781998,8.711256980895996,0.8870711326599121,0.02065426,0.2389404296875,0.2,-0.03704465465270914,0.0003,17.512707942724226
84,1242,556.6051024100001,818.2,688128,553,830,1.0858203172683716,-17.999752479791642,3.3772380352020264,0.8931114077568054,0.027488366,0.3168212890625,0.2,-0.03821744867454981,0.0003,10.75600462704897
85,1252,553.6052563500001,809.92,696320,556,840,1.0880011320114136,-18.030182844400407,4.19166898727417,0.7949978113174438,0.026735768,0.310205078125,0.2,-0.03640659278607927,0.0003,8.555633269250393
86,1262,560.8118982599999,816.34,704512,558,850,1.093640923500061,-18.080831187963486,1.3082530498504639,0.8786425590515137,0.04808692,0.45501708984375,0.2,-0.03858499812631635,0.0003,5.646227880567312
87,1272,560.9947788000001,812.77,712704,560,860,1.097298264503479,-18.121935975551605,2.9907236099243164,0.8087068796157837,0.02265859,0.2820556640625,0.2,-0.031245527969440447,0.0003,8.0318325124681
88,1282,577.00539267,829.61,720896,562,870,1.0961424112319946,-18.13367614746094,5.008298873901367,0.8538554906845093,0.019215923,0.2251220703125,0.2,-0.03556706187082455,0.0003,12.74342651963234
