fault_type,severity,n_joints,seed,onset_step,baseline_vel,baseline_vel_sd,velocity_drop_frac,degraded,recovery_status,recovery_time_s,post_fault_distance_m,post_fault_steps_survived,fell
torque_limit,0.2,1,0,235,0.52603,0.06713,0.30616,True,recovered,1.2833,2.31225,300,False
torque_limit,0.2,1,1,197,0.65305,0.07521,0.83152,True,no_recovery,,1.64834,300,False
torque_limit,0.2,1,2,233,0.51233,0.08207,1.00234,True,no_recovery,,0.27712,300,False
torque_limit,0.2,1,3,231,0.54384,0.12812,0.95492,True,no_recovery,,1.07629,300,False
torque_limit,0.2,1,4,222,0.5093,0.09859,1.29657,True,fell,,0.48498,121,True
torque_limit,0.2,1,6,194,0.52478,0.10329,0.95593,True,fell,,0.87553,140,True
torque_limit,0.2,1,7,244,0.54566,0.11242,0.5456,True,recovered,0.4,2.33673,300,False
torque_limit,0.2,1,8,221,0.69083,0.12239,0.9967,True,fell,,1.10333,176,True
torque_limit,0.2,1,9,192,0.38644,0.20837,0.05226,False,no_degradation,,2.44829,300,False
torque_limit,0.2,1,10,227,0.54904,0.11362,0.18866,True,fell,,0.29876,27,True
torque_limit,0.2,1,11,163,0.47767,0.18504,0.33996,True,no_recovery,,2.46747,300,False
torque_limit,0.2,1,12,211,0.54338,0.08989,0.45748,True,no_recovery,,1.93243,300,False
torque_limit,0.2,1,13,239,0.54842,0.15051,0.62524,True,no_recovery,,1.95862,300,False
torque_limit,0.2,1,14,165,0.62181,0.07285,1.06803,True,recovered,0.7,1.55103,300,False
torque_limit,0.2,1,15,243,0.47045,0.09053,0.03925,False,no_degradation,,2.66262,300,False
torque_limit,0.2,1,16,203,0.50162,0.0783,0.27213,True,recovered,3.6167,2.35231,300,False
torque_limit,0.2,1,17,224,0.36731,0.10806,0.13691,False,no_degradation,,2.09724,300,False
torque_limit,0.2,1,18,239,0.49644,0.08127,0.26075,True,recovered,2.2333,2.54819,300,False
torque_limit,0.2,1,19,208,0.46157,0.08726,0.27914,True,no_recovery,,2.56313,300,False
torque_limit,0.2,1,20,239,0.53145,0.10418,0.46334,True,recovered,0.6333,2.37824,300,False
torque_limit,0.2,1,21,180,0.17684,0.20493,0.21447,True,fell,,1.21533,142,True
torque_limit,0.2,1,22,227,0.51103,0.09637,0.35887,True,recovered,1.65,2.02076,300,False
torque_limit,0.2,1,23,153,0.55003,0.10158,0.36533,True,recovered,1.9,2.50032,300,False
torque_limit,0.2,1,24,188,0.35712,0.21863,0.28547,True,no_recovery,,2.26037,300,False
torque_limit,0.2,1,25,200,0.59573,0.12212,0.68131,True,recovered,1.0,1.78437,300,False
torque_limit,0.2,1,26,236,0.56828,0.06973,0.42087,True,no_recovery,,2.26513,300,False
torque_limit,0.2,1,27,150,0.42935,0.09427,0.96981,True,no_recovery,,0.89277,300,False
torque_limit,0.2,1,28,216,0.44881,0.07526,0.73177,True,fell,,2.18326,297,True
torque_limit,0.2,1,29,243,0.59802,0.06408,1.01688,True,no_recovery,,0.24324,300,False
torque_limit,0.2,1,30,160,0.58394,0.07795,0.30848,True,no_recovery,,2.74243,300,False
torque_limit,0.2,1,31,204,0.48764,0.08763,0.0791,False,no_degradation,,2.6033,300,False
torque_limit,0.2,1,32,237,0.64311,0.09105,0.99627,True,no_recovery,,0.23693,300,False
torque_limit,0.2,1,33,237,0.43399,0.0753,0.9809,True,fell,,0.5457,118,True
torque_limit,0.2,1,34,156,0.54171,0.08747,0.31007,True,recovered,1.85,2.4671,300,False
torque_limit,0.2,1,35,160,0.50209,0.10749,0.39927,True,recovered,0.0667,2.08123,300,False
torque_limit,0.2,1,36,188,0.59959,0.10476,0.47488,True,recovered,0.7667,2.42708,300,False
torque_limit,0.2,1,37,165,0.55999,0.08521,0.4052,True,recovered,2.5,2.31551,300,False
torque_limit,0.2,1,38,174,0.48712,0.06119,0.33928,True,recovered,3.9,2.3401,300,False
torque_limit,0.2,1,39,247,0.44713,0.117,-0.06592,False,fell,,0.41228,37,True
torque_limit,0.2,1,40,206,0.45167,0.07414,0.78677,True,recovered,4.2833,1.53529,300,False
torque_limit,0.2,1,41,216,0.55242,0.07295,1.00366,True,no_recovery,,0.19046,300,False
torque_limit,0.2,1,42,158,0.55229,0.06609,0.29972,True,recovered,1.5333,2.55735,300,False
torque_limit,0.2,1,43,200,0.48134,0.10383,0.28957,True,recovered,3.8833,2.38641,300,False
torque_limit,0.2,1,44,216,0.6031,0.06749,0.20052,True,fell,,0.26075,20,True
torque_limit,0.2,1,45,242,0.56498,0.13072,0.72612,True,no_recovery,,1.77394,300,False
torque_limit,0.2,1,46,200,0.6371,0.09016,1.03254,True,no_recovery,,0.61646,300,False
torque_limit,0.2,1,47,159,0.5722,0.09388,0.36094,True,recovered,2.2333,2.21179,300,False
torque_limit,0.2,1,48,163,0.45685,0.12735,0.08294,False,no_degradation,,2.8648,300,False
torque_limit,0.2,1,49,154,0.46554,0.10528,0.1678,True,fell,,0.84683,101,True
torque_limit,0.2,1,50,228,0.50493,0.09467,1.04324,True,recovered,1.1667,1.97104,300,False
torque_limit,0.2,1,51,188,0.57389,0.09353,0.80199,True,no_recovery,,1.63278,300,False
torque_limit,0.2,1,53,225,0.52504,0.11009,0.43339,True,recovered,0.25,2.17701,300,False
